Job Category,Candidate,Actual Category,Fit Score
PUBLIC-RELATIONS,23771896.pdf,PUBLIC-RELATIONS,0.675
CONSULTANT,11415967.pdf,CONSULTANT,0.65
CHEF,74522938.pdf,CHEF,0.643
BUSINESS-DEVELOPMENT,79759716.pdf,BUSINESS-DEVELOPMENT,0.641
CONSULTANT,88907739.pdf,CONSULTANT,0.64
HR,87968870.pdf,HR,0.638
CONSULTANT,51432451.pdf,CONSULTANT,0.637
CHEF,34252537.pdf,CHEF,0.634
PUBLIC-RELATIONS,28290448.pdf,PUBLIC-RELATIONS,0.631
CHEF,28092317.pdf,CHEF,0.63
CHEF,94047639.pdf,CHEF,0.629
ACCOUNTANT,23513618.pdf,ACCOUNTANT,0.629
CHEF,27820360.pdf,CHEF,0.627
PUBLIC-RELATIONS,37913536.pdf,PUBLIC-RELATIONS,0.627
CHEF,14569498.pdf,CHEF,0.625
ACCOUNTANT,16237710.pdf,ACCOUNTANT,0.625
CHEF,29449419.pdf,CHEF,0.621
PUBLIC-RELATIONS,37087371.pdf,PUBLIC-RELATIONS,0.62
CHEF,16924102.pdf,CHEF,0.619
HR,23011221.pdf,FITNESS,0.619
ACCOUNTANT,14470533.pdf,ACCOUNTANT,0.619
CHEF,25128608.pdf,CHEF,0.618
CHEF,21904897.pdf,CHEF,0.617
CONSULTANT,14517953.pdf,CONSULTANT,0.616
CONSULTANT,22571461.pdf,CONSULTANT,0.616
HR,28640735.pdf,HR,0.616
CHEF,28424982.pdf,CHEF,0.615
BPO,16492045.pdf,BPO,0.614
PUBLIC-RELATIONS,26330995.pdf,PUBLIC-RELATIONS,0.613
FITNESS,36139251.pdf,FITNESS,0.612
BUSINESS-DEVELOPMENT,24964303.pdf,BUSINESS-DEVELOPMENT,0.611
PUBLIC-RELATIONS,12920612.pdf,PUBLIC-RELATIONS,0.611
CHEF,25924968.pdf,CHEF,0.61
CHEF,12717345.pdf,CHEF,0.61
ACCOUNTANT,25067742.pdf,ACCOUNTANT,0.609
HR,11480899.pdf,HR,0.609
CHEF,26189601.pdf,CHEF,0.608
CHEF,20321582.pdf,CHEF,0.608
HR,41523474.pdf,HR,0.606
CHEF,38309905.pdf,CHEF,0.606
HR,26289308.pdf,HR,0.605
CHEF,24221960.pdf,CHEF,0.604
CHEF,23032276.pdf,CHEF,0.604
CONSULTANT,15535920.pdf,CONSULTANT,0.604
CHEF,21869994.pdf,CHEF,0.604
ACCOUNTANT,36425270.pdf,ACCOUNTANT,0.603
CHEF,21511817.pdf,CHEF,0.603
CHEF,11444536.pdf,CHEF,0.601
ACCOUNTANT,42487883.pdf,ACCOUNTANT,0.601
ACCOUNTANT,18132924.pdf,ACCOUNTANT,0.601
HR,86184722.pdf,HR,0.6
CONSULTANT,15699744.pdf,CONSULTANT,0.599
PUBLIC-RELATIONS,23673025.pdf,PUBLIC-RELATIONS,0.599
ACCOUNTANT,75286906.pdf,ACCOUNTANT,0.598
ACCOUNTANT,12338274.pdf,ACCOUNTANT,0.596
BUSINESS-DEVELOPMENT,13080868.pdf,BUSINESS-DEVELOPMENT,0.596
FITNESS,54259150.pdf,FITNESS,0.596
HR,18316239.pdf,HR,0.595
PUBLIC-RELATIONS,27000192.pdf,PUBLIC-RELATIONS,0.595
CHEF,53265899.pdf,CHEF,0.595
CHEF,16066857.pdf,CHEF,0.594
CHEF,51554903.pdf,CHEF,0.594
HR,17812897.pdf,HR,0.593
CONSULTANT,57364820.pdf,CONSULTANT,0.593
ACCOUNTANT,14449423.pdf,ACCOUNTANT,0.592
FITNESS,38642923.pdf,FITNESS,0.592
HR,32947778.pdf,HR,0.592
CONSULTANT,31169070.pdf,CONSULTANT,0.592
ACCOUNTANT,25462793.pdf,ACCOUNTANT,0.591
CONSULTANT,13586069.pdf,CONSULTANT,0.591
CHEF,19285236.pdf,CHEF,0.59
HR,28828844.pdf,HR,0.59
ACCOUNTANT,35554162.pdf,ACCOUNTANT,0.589
CHEF,16804396.pdf,CHEF,0.589
DESIGNER,29764492.pdf,APPAREL,0.588
CHEF,34452806.pdf,CHEF,0.588
ACCOUNTANT,37370455.pdf,ACCOUNTANT,0.588
CONSULTANT,69181350.pdf,CONSULTANT,0.587
HR,22323967.pdf,HR,0.586
ACCOUNTANT,30813919.pdf,ACCOUNTANT,0.585
ACCOUNTANT,14055988.pdf,ACCOUNTANT,0.585
ACCOUNTANT,34198885.pdf,ACCOUNTANT,0.585
ACCOUNTANT,20253563.pdf,ACCOUNTANT,0.585
CHEF,13095891.pdf,CHEF,0.584
ACCOUNTANT,13130984.pdf,ACCOUNTANT,0.584
CONSULTANT,25213006.pdf,CONSULTANT,0.584
ACCOUNTANT,87635012.pdf,ACCOUNTANT,0.584
CONSULTANT,73075521.pdf,CONSULTANT,0.584
CHEF,29784524.pdf,CHEF,0.584
DESIGNER,23719943.pdf,APPAREL,0.583
CHEF,10889157.pdf,CHEF,0.583
PUBLIC-RELATIONS,98086373.pdf,PUBLIC-RELATIONS,0.583
CHEF,18480859.pdf,CHEF,0.582
CONSULTANT,95429627.pdf,CONSULTANT,0.582
HR,59962788.pdf,HR,0.582
HR,93112113.pdf,HR,0.581
DESIGNER,15746146.pdf,APPAREL,0.581
CONSULTANT,11020140.pdf,CONSULTANT,0.581
